Product title,Brand,Model,Total price (LKR),Discount price (if available),RAM,Storage,Processor,Battery capacity,Camera specs,Display size,Operating system,Network type,Warranty,Stock availability,Seller / store name,Posted date,Product URL
iPhone 17,Apple,iPhone 17,0,,,256GB,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:34:29+05:30,https://francium.lk/products/iphone-17
iPhone Air,Apple,iPhone Air,0,,,,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:34:28+05:30,https://francium.lk/products/iphone-air
iPhone 17 Pro Max,Apple,iPhone 17 Pro Max,0,,,,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:34:27+05:30,https://francium.lk/products/iphone-17-pro-max
iPhone 17 Pro,Apple,iPhone 17 Pro,0,,,,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:30:13+05:30,https://francium.lk/products/iphone-17-pro
iPhone 16E,Apple,iPhone 16E,189900,,,,,,,,iOS,,unknown,In stock,Francium,2025-03-17T11:44:04+05:30,https://francium.lk/products/iphone-16e
EarPods (3.5mm Headphone Plug),Apple,EarPods (3.5mm Headphone Plug),6900,,,,,,,,Android,,unknown,In stock,Francium,2025-03-07T01:48:24+05:30,https://francium.lk/products/earpods-3-5mm-headphone-plug
iPhone 13,Apple,iPhone 13,159900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-09T22:43:56+05:30,https://francium.lk/products/iphone-13
iPhone 14,Apple,iPhone 14,167900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-09T22:37:23+05:30,https://francium.lk/products/iphone-14
iPhone 15,Apple,iPhone 15,199900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-09T22:36:30+05:30,https://francium.lk/products/iphone-15
iPhone 16 Plus,Apple,iPhone 16 Plus,284900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-04T18:37:46+05:30,https://francium.lk/products/iphone-16-plus
iPhone 16,Apple,iPhone 16,234900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-04T17:43:42+05:30,https://francium.lk/products/iphone-16
Chat,unknown,Chat,,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en
Login,unknown,Login,,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ads/sri-lanka/mobile-phones?login-modal=true&redirect-url=/en/ads/sri-lanka/mobile-phones
Apple iPhone 16 Pro 256 GB (Used),Apple,Apple iPhone 16 Pro 256 GB (Used),260000,,,256 GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ads/sri-lanka?sort=date&order=desc&buy_now=0&urgent=0&page=1
Xiaomi Redmi Note 14 Pro 5G (Brand New),Xiaomi,Xiaomi Redmi Note 14 Pro 5G (Brand New),85000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-14-pro-5g-brand-new-for-sale-kandy
Apple iPhone 16 Pro 128GB (Used),Apple,Apple iPhone 16 Pro 128GB (Used),255000,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-used-for-sale-colombo-672
Samsung Galaxy A07 4GB|128GB |4G (Brand New),Samsung,Samsung Galaxy A07 4GB|128GB |4G (Brand New),33490,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-4gb128gb-4g-brand-new-for-sale-colombo
Apple iPhone 12 Pro (Used),Apple,Apple iPhone 12 Pro (Used),97000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kandy-1239
Realme 8 Pro (Used),Realme,Realme 8 Pro (Used),17000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/realme-8-pro-used-for-sale-matale
Samsung Galaxy A07 8GB|256GB|4G (Brand New),Samsung,Samsung Galaxy A07 8GB|256GB|4G (Brand New),40500,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-8gb256gb4g-brand-new-for-sale-colombo-4
Apple iPhone 17 Pro 256GB (Used),Apple,Apple iPhone 17 Pro 256GB (Used),350000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-used-for-sale-kurunegala-11
Samsung Galaxy Z Flip 256GB (Used),Samsung,Samsung Galaxy Z Flip 256GB (Used),18500,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-z-flip-8-256-used-for-sale-ratnapura
Apple iPhone 14 256GB (Used),Apple,Apple iPhone 14 256GB (Used),132999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-gampaha-383
Apple iPhone 16 Pro Max 256GB (Used),Apple,Apple iPhone 16 Pro Max 256GB (Used),285000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-jaffna-33
Xiaomi Redmi 15C 15 (Brand New),Xiaomi,Xiaomi Redmi 15C 15 (Brand New),32000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-15-brand-new-for-sale-batticaloa
Huawei Y9 2018 (Used),Huawei,Huawei Y9 2018 (Used),6000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/huawei-y9-2018-used-for-sale-colombo-1466
Samsung Galaxy S24 Ultra (Used),Samsung,Samsung Galaxy S24 Ultra (Used),185000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-made-in-vietnam-used-for-sale-kandy
Apple iPhone 8 Plus 256GB (Used),Apple,Apple iPhone 8 Plus 256GB (Used),30000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-8-plus-256gb-used-for-sale-gampaha-3859
Sony Xperia 1 v/16/256/dual sim (Used),Sony,Sony Xperia 1 v/16/256/dual sim (Used),105000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/sony-xperia-1-v-16-256-dual-sim-used-for-sale-gampaha-15
Apple iPhone XS Max (Used),Apple,Apple iPhone XS Max (Used),35000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-xs-max-all-used-for-sale-kegalle
Samsung Galaxy F23 6GB 128GB (Used),Samsung,Samsung Galaxy F23 6GB 128GB (Used),34500,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-f23-6gb-128gb-used-for-sale-kandy-1
Huawei Y9 (Used),Huawei,Huawei Y9 (Used),9000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/huawei-y9-used-for-sale-colombo-1581
